Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Mystery Super Technique,Super Saiyan 3 Goku,120/140,15-Jan,UR,Super AGL,1321,"[""Boost Type"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Prelude to Destruction,Causes supreme damage to enemy and lowers ATK[1],Battle to the End,Ki +2 and ATK & DEF +20% for all allies,"[""Majin Buu Saga"", ""Super Saiyan 3"", ""Pure Saiyans"", ""Full Power"", ""Movie Heroes"", ""Goku's Family"", ""Final Trump Card"", ""Turtle School"", ""Attained Evolution""]","[""3245"", ""9500"", ""12300"", ""15940""]","[""3632"", ""8672"", ""11472"", ""15672""]","[""2199"", ""4623"", ""7423"", ""12183""]",4530,"AGL Type Ki +3 and HP, ATK & DEF +70%",Dragon Fist (Extreme),Causes immense damage to enemy and greatly lowers DEF[2],DEF +70% at start of turn; ATK +120% for 7 turns from start of turn,"[""10256"", ""11013"", ""11770"", ""12527"", ""15327"", ""18967""]","[""9281"", ""9891"", ""10501"", ""11111"", ""13911"", ""18111""]","[""4916"", ""5209"", ""5502"", ""5796"", ""8596"", ""13356""]",Rage,Rages when HP is 30% or less (once only),Rages when HP is 40% or less (up to 2 times), Super Spirit Bomb (Extreme),Causes mega-colossal damage to enemy; raises allies' ATK by 30% and chance of performing a critical hit by 10% for 1 turn, Non-stop Violence,Causes mega-colossal damage to enemy and lowers ATK & DEF[1],10x Kamehameha,Massively raises ATK temporarily[4] and causes ultimate damage to enemy,Can be activated starting from the 4th turn from start of battle (once only),Leave it to Pan!,All allies' ATK +33% for 1 turn,Can be activated starting from the 3rd turn from start of battle (once only), Minute of Desperation,"Greatly raises ATK for 1 turn[3], causes mega-colossal damage to enemy and massively lowers DEF[4]", Super Spirit Bomb (Extreme),Causes immense damage to enemy and raises Super Class allies' ATK & DEF by 25% for 1 turn
Heartless Destruction,Buu (Kid),120/140,15-Jan,UR,Extreme PHY,1331,"[""Boost All"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Prelude to Destruction,Causes supreme damage to enemy and lowers ATK[1],Planetary Destruction,Attacked enemy's ATK -20%; high chance[2] to stun the attacked enemy,"[""Resurrected Warriors"", ""Majin Buu Saga"", ""Transformation Boost"", ""Artificial Life Forms"", ""Majin Power"", ""Planetary Destruction"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]","[""5130"", ""11050"", ""13850"", ""18610""]","[""5032"", ""7749"", ""10549"", ""14749""]","[""3084"", ""3542"", ""6342"", ""9982""]",4652,"All Types Ki +3 and HP & DEF +50%, raises ATK by up to 80% (the more HP remaining, the greater the ATK boost)",Planet Burst (Extreme),Causes immense damage to enemy and lowers DEF[1],All allies' Ki +2 and ATK & DEF +50% when HP is 80% or above; all allies' ATK & DEF +30% when HP is 79% or below,"[""11766"", ""12482"", ""13199"", ""13915"", ""16715"", ""21475""]","[""8077"", ""8406"", ""8735"", ""9064"", ""11864"", ""16064""]","[""3597"", ""3652"", ""3708"", ""3763"", ""6563"", ""10203""]",Rage,"Perform Potara fusion when HP is 50% or below, starting from the 6th turn from the start of battle",Transforms starting from the 3rd turn from the start of battle, Imperial Conquest (Extreme),Causes mega-colossal damage to enemy and greatly lowers ATK & DEF[3], Don't Underestimate Earth!,Causes mega-colossal damage to enemy,Final Shine Attack,Massively raises ATK temporarily[4] and causes ultimate damage to enemy,Can be activated starting from the 4th turn from start of battle (once only),HAIL Frieza,Causes supreme damage to enemy and greatly lowers ATK & DEF[2],"Can be activated when facing 3 or more enemies, starting from the 3rd turn from the start of battle (once only)", Otherworld Master and Fusion Fighter,"Greatly raises ATK for 1 turn[1], causes immense damage to enemy, attacks effective against all Types and greatly lowers ATK[2]",,
Ceaseless Terror,Perfect Cell,120/140,15-Jan,UR,Extreme INT,1376,"[""Boost All"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery"", ""Stack Attack""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Eraser Cannon,Causes supreme damage to enemy,Ultimate Battle Form,DEF +100% & ATK -50% when facing only 1 enemy; ATK +100% & DEF -50% when facing 2 or more enemies,"[""Resurrected Warriors"", ""Full Power"", ""Androids"", ""Transformation Boost"", ""Time Travelers"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Kamehameha"", ""Revenge"", ""Miraculous Awakening"", ""Planetary Destruction"", ""Sworn Enemies""]","[""3811"", ""9123"", ""11123"", ""14123""]","[""2819"", ""7732"", ""9732"", ""12732""]","[""2442"", ""5432"", ""7432"", ""10432""]",4834,"All Types Ki +2 and HP, ATK & DEF +50%",Solar Kamehameha (Extreme),Greatly raises ATK[1] and causes supreme damage to enemy,ATK & DEF +90% at start of turn; recovers 20% HP whenever HP is 30% or below,"[""9765"", ""10408"", ""11051"", ""11694"", ""13694"", ""16694""]","[""8326"", ""8921"", ""9515"", ""10110"", ""12110"", ""15110""]","[""5793"", ""6155"", ""6517"", ""6879"", ""8879"", ""11879""]",Potara Fusion,"Fuse when HP is 50% or below, starting from the 6th turn from the start of battle",Transforms upon entering next attacking turn, Father-Son Kamehameha (Extreme),"Greatly raises ATK for 1 turn[2], raises DEF for 1 turn[1] and causes mega-colossal damage to enemy", Special Fighting Assault,Causes mega-colossal damage; allies' DEF +30% for 1 turn,Take This!,Causes ultimate damage to enemy,Can be activated when HP is 59% or less (once only),Exchange,Massively raises ATK temporarily[5] and causes ultimate damage to enemy; all allies' Ki +7 for 1 turn,"Activated when there is a ""Majin Buu Saga"" Category ally whose name includes ""Hercule"" attacking in the same turn", Triple Kamehameha,"Greatly raises ATK for 1 turn[3], causes immense damage to enemy and raises allies' ATK by 30% for 1 turn",,
Super Warrior of Destruction,Legendary Super Saiyan Broly,120/140,15-Jan,UR,Extreme STR,1380,"[""All-Target Super Attack"", ""Boost Type"", ""Debuff"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Hell Breaker,Causes supreme damage with a rare chance to stun the enemy[1],Rushing Rage,ATK +90% and Ki +2 when facing only 1 enemy,"[""Movie Bosses"", ""Pure Saiyans"", ""Full Power"", ""Target: Goku"", ""Exploding Rage"", ""Inhuman Deeds"", ""Planetary Destruction"", ""Legendary Existence""]","[""3763"", ""9843"", ""12643"", ""16843""]","[""3572"", ""9243"", ""12043"", ""16803""]","[""1965"", ""4532"", ""7332"", ""10972""]",4829,"STR Type Ki +3 and HP, ATK & DEF +70%",Gigantic Meteor (Extreme),Causes supreme damage to all enemies and raises ATK for 3 turns[1],ATK & DEF +80% when attacking,"[""10578"", ""11314"", ""12050"", ""12785"", ""15585"", ""19785""]","[""9929"", ""10615"", ""11301"", ""11987"", ""14787"", ""19547""]","[""4841"", ""5150"", ""5460"", ""5769"", ""8569"", ""12209""]",Fusion,"25% chance to activate ""Fruit of the Tree of Might Boost"" for 3 turns when HP is 80% or below",Transforms upon entering next attacking turn, Final Explosion (Extreme),Raises ATK for 1 turn[2] and causes colossal damage to all enemies with a medium chance of stunning them[5], Concerto Slash,Causes mega-colossal damage to enemy and raises DEF by 30% for 6 turns,Family Kamehameha,Massively raises ATK temporarily[4] and causes ultimate damage to enemy,"Can be activated when HP is 59% or less and facing only 1 enemy, starting from the 3rd turn from start of battle (once only)",Exchange,,"Can be activated after the character receives attack 7 or more times in battle and there is another ""Turtle School"" Category ally attacking in the same turn (once only)", Double Masenko,"Greatly raises ATK for 1 turn[4], raises DEF[5] and causes immense damage with a high chance of stunning the enemy[6]",,
Emperor's Devotion,Frieza (Full Power),120/140,15-Jan,UR,Extreme PHY,1425,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Final Flash,Causes supreme damage to enemy,Totality of Rage,ATK & DEF +5000 at start of turn,"[""Planet Namek Saga"", ""Full Power"", ""Transformation Boost"", ""Wicked Bloodline"", ""Terrifying Conquerors"", ""Final Trump Card"", ""Exploding Rage"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Gifted Warriors"", ""Planetary Destruction"", ""Sworn Enemies""]","[""3716"", ""9250"", ""12050"", ""16810""]","[""4761"", ""8700"", ""11500"", ""15700""]","[""3108"", ""4875"", ""7675"", ""11315""]",1885,"PHY Type Ki +3 and HP, ATK & DEF +70%",I'm the One Who'll Kill You! (Extreme),Causes immense damage to enemy and raises DEF by 30% for 3 turns,ATK +120% when performing a Super Attack; Ki +3 and DEF +30% as the 1st attacker in a turn,"[""9919"", ""10589"", ""11258"", ""11928"", ""14728"", ""19488""]","[""9176"", ""9653"", ""10129"", ""10606"", ""13406"", ""17606""]","[""5088"", ""5302"", ""5516"", ""5730"", ""8530"", ""12170""]",Boost,30% chance to Evolve starting from the 4th turn from the start of battle,Transforms upon entering next attacking turn, Omega Blaster (Extreme),Raises ATK & DEF for 1 turn[1] and causes mega-colossal damage to enemy, Fusion,"70% chance for SS1 Gotenks, 30% chance for SS3 Gotenks.
SS1 Gotenks: Causes mega-colossal damage to enemy and raises DEF by 30% for 1 turn SS3 Gotenks: Causes mega-colossal damage to enemy and greatly raises ATK & DEF for 1 turn[3]",Kakarot,Ki +24 and ATK +48% for 1 turn,Can be activated after Transformation (once only),The Greatest Kamehameha,,, Justice Rush,"Greatly raises ATK[4], raises DEF for 1 turn[2], causes immense damage to enemy and greatly lowers DEF[5]",,
"Farewell, Proud Warrior",Majin Vegeta,120/140,15-Jan,UR,Extreme TEQ,1439,"[""All-Target Super Attack"", ""Boost All"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Revenge Death Ball,Supreme damage to enemy and lowers ATK[1],Warrior's Resolve,ATK +100% when HP is 30% or more; turns into Giant Ape when conditions are met,"[""Resurrected Warriors"", ""Majin Buu Saga"", ""Pure Saiyans"", ""Vegeta's Family"", ""Worthy Rivals"", ""Super Saiyan 2"", ""Final Trump Card"", ""All-Out Struggle"", ""Connected Hope"", ""Corroded Body and Mind"", ""Gifted Warriors""]","[""3340"", ""8670"", ""10670"", ""13670""]","[""3346"", ""7526"", ""9526"", ""12526""]","[""1937"", ""4008"", ""6008"", ""9008""]",11066,"All Types Ki +3 and HP, ATK & DEF +60%",Final Explosion (Extreme),Causes supreme damage to all enemies with a chance of stunning them[2],"ATK & DEF +60% at start of turn; raises Ki by up to 3 and raises ATK & DEF by up to 60% (the more HP remaining, the greater the stats boost); plus an additional ATK +88% if HP is 60% or less when performing a Super Attack (once only)","[""9314"", ""9959"", ""10604"", ""11249"", ""13249"", ""16249""]","[""8031"", ""8537"", ""9043"", ""9549"", ""11549"", ""14549""]","[""4258"", ""4509"", ""4759"", ""5010"", ""7010"", ""10010""]",Evolution,Transforms upon entering attacking turn,Transforms starting from the 3rd turn from the start of battle, Hercule Miracle... Punch (Extreme),Causes mega-colossal damage to enemy and raises ATK & DEF by 50% for 3 turns, God Impact,Greatly raises ATK for 1 turn[2] and causes mega-colossal damage to enemy,Miraculous Power,"Greatly raises ATK temporarily[3], causes ultimate damage to enemy and massively lowers DEF[1]",Can be activated when facing only 1 enemy starting from the 3rd turn after Evolution (once only),,,, Shining Slash,Raises ATK[1] and causes supreme damage to enemy; all attacks become critical hits for 1 turn,,
Surpassing All,Perfect Cell,120/140,15-Jan,UR,Extreme TEQ,1465,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Recovery""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Super Galick Gun,Causes destructive damage to enemy,Avatar of Contempt,-,"[""Resurrected Warriors"", ""Full Power"", ""Androids"", ""Transformation Boost"", ""Time Travelers"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Kamehameha"", ""Revenge"", ""Miraculous Awakening"", ""Planetary Destruction"", ""Sworn Enemies""]","[""4012"", ""9792"", ""12592"", ""16232""]","[""3112"", ""8432"", ""11232"", ""15992""]","[""3123"", ""6034"", ""8834"", ""13034""]",4833,"TEQ Type Ki +3 and HP, ATK & DEF +70%",Solar Kamehameha (Extreme),Causes immense damage to enemy and recovers 10% HP,ATK & DEF +15% per Ki Sphere obtained; Ki +1 in addition per Rainbow Ki Ki Sphere obtained,"[""10491"", ""11190"", ""11890"", ""12589"", ""15389"", ""19029""]","[""9075"", ""9719"", ""10363"", ""11007"", ""13807"", ""18567""]","[""6386"", ""6738"", ""7090"", ""7443"", ""10243"", ""14443""]",Transformation,"30% chance to consume Cell when HP is 50% or above, starting from the 4th turn from the start of battle",Transforms upon entering next attacking turn, Super Spirit Bomb (Extreme),Causes mega-colossal damage to enemy and raises allies' ATK & DEF by 30% for 1 turn, Shining Sword Attack,Causes mega-colossal damage to enemy and raises DEF by 30% for 3 turns,Monstrous God,Causes ultimate damage to enemy and raises allies' ATK by 30% for 1 turn,"Can be activated when HP is 59% or less with another 3 or more ""Representatives of Universe 7"" Category allies on the team (once only)",,,, Full Power Masenko,"Raises DEF[1], greatly raises ATK for 1 turn[3] and causes immense damage with a high chance of stunning the enemy[4]",,
Umpire of Annihilation,Beerus,120/140,15-Jan,UR,Super STR,1488,"[""Boost Category"", ""Boost Type"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Time Skip,Causes supreme damage with chance to stun the enemy[1],Rival's Recognition,ATK +80%; disables enemy's guard with a high chance of stunning the attacked enemy[2],"[""Realm of Gods"", ""Movie Bosses"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Exploding Rage"", ""Space-Traveling Warriors"", ""Planetary Destruction"", ""Legendary Existence""]","[""3788"", ""8137"", ""10137"", ""13137""]","[""3601"", ""8679"", ""10679"", ""14079""]","[""2437"", ""3493"", ""5493"", ""8093""]",4832,"TEQ, INT & STR Type Ki +3 and HP, ATK & DEF +50%",God of Destruction's Edict (Extreme),Causes supreme damage to enemy and greatly lowers DEF[2],"""Worthy Rivals"" Category allies' Ki +2 and ATK & DEF +30%; DEF +100% and high chance[3] of ATK +200%","[""8663"", ""9189"", ""9715"", ""10242"", ""12242"", ""15242""]","[""9293"", ""9907"", ""10522"", ""11136"", ""13136"", ""16536""]","[""3620"", ""3748"", ""3876"", ""4004"", ""6004"", ""8604""]",Transformation,Transform starting from the 5th turn from the start of battle:► Absorb Piccolo when HP is 49% or below► Absorb Super Saiyan 3 Gotenks when HP is between 50% and 79%► Absorb Ultimate Gohan when HP is between 80% and 100%,Transforms upon entering next attacking turn, Incident Under the Full Moon (Extreme),Greatly raises ATK & DEF for 1 turn[4] and causes mega-colossal damage to enemy, Strike of Bond,Causes mega-colossal damage with a chance to stun the enemy[2],Rage,Greatly raises ATK temporarily[4] and causes ultimate damage to enemy,"Can be activated when facing only 1 enemy, whose HP is 50% or less, starting from next attacking turn (once only)",,,,,,,
Uncontrollable Instinct,Buu (Kid),120/140,15-Jan,UR,Extreme AGL,1500,"[""Boost All"", ""Boost Type"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Recovery""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Spirit of Saiyans,Causes supreme damage and seals Super Attack,Skill Copy,ATK +7000 and Ki +3 when facing only 1 enemy,"[""Resurrected Warriors"", ""Majin Buu Saga"", ""Transformation Boost"", ""Artificial Life Forms"", ""Majin Power"", ""Planetary Destruction"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]","[""4315"", ""9964"", ""11964"", ""14564""]","[""4332"", ""8099"", ""10099"", ""13099""]","[""2156"", ""3640"", ""5640"", ""9040""]",11104,"AGL Type Ki +2 and HP, ATK & DEF +70%",Planet Burst (Extreme),Causes supreme damage to enemy and greatly lowers DEF[2],Recovers 14% HP at start of turn; ATK +14% and DEF +7% per Ki Sphere obtained,"[""10647"", ""11331"", ""12014"", ""12698"", ""14698"", ""17298""]","[""8554"", ""9010"", ""9466"", ""9922"", ""11922"", ""14922""]","[""3819"", ""3999"", ""4178"", ""4358"", ""6358"", ""9758""]",Transformation,"Transform when HP is 80% or above, starting from the 6th turn from the start of battle",Transforms upon entering next attacking turn, Burning Justice (Extreme),"Raises ATK & DEF for 1 turn[2], causes mega-colossal damage to enemy and raises Super Class allies' ATK by 30% for 2 turns", Galactic Suppression,Causes mega-colossal damage to enemy and raises Extreme Class allies' ATK by 40% for 1 turn,Fusion with Kami,Greatly raises ATK temporarily[4] and causes ultimate damage to enemy,"Can be activated when facing only 1 enemy, whose HP is 50% or less, starting from next attacking turn (once only)",,,,,,,
Clutching Victory,Super Saiyan 3 Goku,120/140,15-Jan,UR,Super STR,1503,"[""Boost All"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Kamehameha,Causes huge damage to enemy,Full-Power Battle,DEF reduced to 0 at start of turn,"[""Majin Buu Saga"", ""Super Saiyan 3"", ""Pure Saiyans"", ""Full Power"", ""Movie Heroes"", ""Goku's Family"", ""Final Trump Card"", ""Turtle School"", ""Attained Evolution""]","[""3199"", ""8571"", ""10571"", ""13571""]","[""3124"", ""8123"", ""10123"", ""13523""]","[""2331"", ""4277"", ""6277"", ""8877""]",41111,"All Types Ki +2 and HP, ATK & DEF +50%",Dragon Fist (Extreme),Causes supreme damage to enemy and greatly lowers DEF[2],DEF +40%; ATK +80% when HP is 30% or above; plus an additional ATK +30% when HP is 50% or above; plus an additional ATK +30% when HP is 80% or above,"[""9221"", ""9871"", ""10521"", ""11171"", ""13171"", ""16171""]","[""8727"", ""9332"", ""9937"", ""10542"", ""12542"", ""15942""]","[""4512"", ""4747"", ""4983"", ""5218"", ""7218"", ""9818""]",Transformation,Transform starting from the 5th turn from the start of battle,Exchange with Super Trunks; Can be activated starting from the 3rd turn from start of battle (once only), Courageous Adventure (Extreme),Causes mega-colossal damage to enemy and raises Super Class allies' ATK & DEF by 30% for 1 turn, Dragon Fist,Causes mega-colossal damage to enemy and greatly lowers DEF[2],Awakening,Removes all allies' status effects and raises all allies' ATK by 22% for 2 turns,"Can be activated when HP is 80% or less, starting from the 4th turn from the start of battle (once only)",,,,,,,
