Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Mystery Super Technique,Super Saiyan 3 Goku,120/140,15,UR,Super AGL,1321,"[""Boost Type"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Battle to the End,,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Limit-Breaking Form Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Majin Buu Saga"", ""Super Saiyan 3"", ""Pure Saiyans"", ""Full Power"", ""Movie Heroes"", ""Goku's Family"", ""Final Trump Card"", ""Turtle School"", ""Attained Evolution""]",15940,15672,12183,,"AGL Type Ki +3 and HP, ATK & DEF +70%",Dragon Fist (Extreme),Causes immense damage to enemy and greatly lowers DEF[2],DEF +70% at start of turn; ATK +120% for 7 turns from start of turn,"[""10256"", ""11013"", ""11770"", ""12527"", ""15327"", ""18967""]","[""9281"", ""9891"", ""10501"", ""11111"", ""13911"", ""18111""]","[""4916"", ""5209"", ""5502"", ""5796"", ""8596"", ""13356""]",,,,,,,,,,,,,,,,,
Heartless Destruction,Buu (Kid),120/140,15,UR,Extreme PHY,1331,"[""Boost All"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Planetary Destruction,,"[""Majin Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +15%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""More Than Meets the Eye Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Infinite Regeneration Lv 1: Recovers 3% HPLv 10: Ki +2, recovers 3% HP and DEF +10%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%"", ""The Wall Standing Tall Lv 1: Disables enemy's True Power; ATK +15%Lv 10: Disables enemy's True Power; ATK +20%""]","[""Resurrected Warriors"", ""Majin Buu Saga"", ""Transformation Boost"", ""Artificial Life Forms"", ""Majin Power"", ""Planetary Destruction"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]",18610,14749,9982,,"All Types Ki +3 and HP & DEF +50%, raises ATK by up to 80% (the more HP remaining, the greater the ATK boost)",Planet Burst (Extreme),Causes immense damage to enemy and lowers DEF[1],All allies' Ki +2 and ATK & DEF +50% when HP is 80% or above; all allies' ATK & DEF +30% when HP is 79% or below,"[""11766"", ""12482"", ""13199"", ""13915"", ""16715"", ""21475""]","[""8077"", ""8406"", ""8735"", ""9064"", ""11864"", ""16064""]","[""3597"", ""3652"", ""3708"", ""3763"", ""6563"", ""10203""]",,,,,,,,,,,,,,,,,
Ceaseless Terror,Perfect Cell,120/140,15,UR,Extreme INT,1376,"[""Boost All"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery"", ""Stack Attack""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Ultimate Battle Form,,"[""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Messenger from the Future Lv 1: ATK +5%Lv 10: ATK +10%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Attack of the Clones Lv 1: Ki +1Lv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +5%"", ""Ultimate Lifeform Lv 1: Ki +2Lv 10: Ki +2, recovers 3% HP and ATK & DEF +10%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Resurrected Warriors"", ""Full Power"", ""Androids"", ""Transformation Boost"", ""Time Travelers"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Kamehameha"", ""Revenge"", ""Miraculous Awakening"", ""Planetary Destruction"", ""Sworn Enemies""]",14123,"[""2819"", ""7732"", ""9732"", ""12732""]","[""2442"", ""5432"", ""7432"", ""10432""]",,"All Types Ki +2 and HP, ATK & DEF +50%",Solar Kamehameha (Extreme),Greatly raises ATK[1] and causes supreme damage to enemy,ATK & DEF +90% at start of turn; recovers 20% HP whenever HP is 30% or below,"[""9765"", ""10408"", ""11051"", ""11694"", ""13694"", ""16694""]","[""8326"", ""8921"", ""9515"", ""10110"", ""12110"", ""15110""]","[""5793"", ""6155"", ""6517"", ""6879"", ""8879"", ""11879""]",,,,,,,,,,,,,,,,,
Super Warrior of Destruction,Legendary Super Saiyan Broly,120/140,15,UR,Extreme STR,1380,"[""All-Target Super Attack"", ""Boost Type"", ""Debuff"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Rushing Rage,,"[""Hardened Grudge Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Berserker Lv 1: ATK +20% when HP is 50% or lessLv 10: ATK +30% when HP is 50% or less"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Movie Bosses"", ""Pure Saiyans"", ""Full Power"", ""Target: Goku"", ""Exploding Rage"", ""Inhuman Deeds"", ""Planetary Destruction"", ""Legendary Existence""]",16843,"[""3572"", ""9243"", ""12043"", ""16803""]","[""1965"", ""4532"", ""7332"", ""10972""]",,"STR Type Ki +3 and HP, ATK & DEF +70%",Gigantic Meteor (Extreme),Causes supreme damage to all enemies and raises ATK for 3 turns[1],ATK & DEF +80% when attacking,"[""10578"", ""11314"", ""12050"", ""12785"", ""15585"", ""19785""]","[""9929"", ""10615"", ""11301"", ""11987"", ""14787"", ""19547""]","[""4841"", ""5150"", ""5460"", ""5769"", ""8569"", ""12209""]",,,,,,,,,,,,,,,,,
Emperor's Devotion,Frieza (Full Power),120/140,15,UR,Extreme PHY,1425,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Totality of Rage,,"[""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%"", ""Universe's Most Malevolent Lv 1: ATK +15%Lv 10: ATK +20%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%"", ""Strongest Clan in Space Lv 1: Ki +2Lv 10: All enemies' DEF -10% and Ki +2"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Planet Namek Saga"", ""Full Power"", ""Transformation Boost"", ""Wicked Bloodline"", ""Terrifying Conquerors"", ""Final Trump Card"", ""Exploding Rage"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Gifted Warriors"", ""Planetary Destruction"", ""Sworn Enemies""]",16810,"[""4761"", ""8700"", ""11500"", ""15700""]","[""3108"", ""4875"", ""7675"", ""11315""]",,"PHY Type Ki +3 and HP, ATK & DEF +70%",I'm the One Who'll Kill You! (Extreme),Causes immense damage to enemy and raises DEF by 30% for 3 turns,ATK +120% when performing a Super Attack; Ki +3 and DEF +30% as the 1st attacker in a turn,"[""9919"", ""10589"", ""11258"", ""11928"", ""14728"", ""19488""]","[""9176"", ""9653"", ""10129"", ""10606"", ""13406"", ""17606""]","[""5088"", ""5302"", ""5516"", ""5730"", ""8530"", ""12170""]",,,,,,,,,,,,,,,,,
"Farewell, Proud Warrior",Majin Vegeta,120/140,15,UR,Extreme TEQ,1439,"[""All-Target Super Attack"", ""Boost All"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Warrior's Resolve,,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Resurrected Warriors"", ""Majin Buu Saga"", ""Pure Saiyans"", ""Vegeta's Family"", ""Worthy Rivals"", ""Super Saiyan 2"", ""Final Trump Card"", ""All-Out Struggle"", ""Connected Hope"", ""Corroded Body and Mind"", ""Gifted Warriors""]",13670,12526,9008,,"All Types Ki +3 and HP, ATK & DEF +60%",Final Explosion (Extreme),Causes supreme damage to all enemies with a chance of stunning them[2],"ATK & DEF +60% at start of turn; raises Ki by up to 3 and raises ATK & DEF by up to 60% (the more HP remaining, the greater the stats boost); plus an additional ATK +88% if HP is 60% or less when performing a Super Attack (once only)","[""9314"", ""9959"", ""10604"", ""11249"", ""13249"", ""16249""]","[""8031"", ""8537"", ""9043"", ""9549"", ""11549"", ""14549""]","[""4258"", ""4509"", ""4759"", ""5010"", ""7010"", ""10010""]",,,,,,,,,,,,,,,,,
Surpassing All,Perfect Cell,120/140,15,UR,Extreme TEQ,1465,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Recovery""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Avatar of Contempt,,"[""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Messenger from the Future Lv 1: ATK +5%Lv 10: ATK +10%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Attack of the Clones Lv 1: Ki +1Lv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +5%"", ""Ultimate Lifeform Lv 1: Ki +2Lv 10: Ki +2, recovers 3% HP and ATK & DEF +10%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Resurrected Warriors"", ""Full Power"", ""Androids"", ""Transformation Boost"", ""Time Travelers"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Kamehameha"", ""Revenge"", ""Miraculous Awakening"", ""Planetary Destruction"", ""Sworn Enemies""]","[""4012"", ""9792"", ""12592"", ""16232""]","[""3112"", ""8432"", ""11232"", ""15992""]","[""3123"", ""6034"", ""8834"", ""13034""]",,"TEQ Type Ki +3 and HP, ATK & DEF +70%",Solar Kamehameha (Extreme),Causes immense damage to enemy and recovers 10% HP,ATK & DEF +15% per Ki Sphere obtained; Ki +1 in addition per Rainbow Ki Ki Sphere obtained,"[""10491"", ""11190"", ""11890"", ""12589"", ""15389"", ""19029""]","[""9075"", ""9719"", ""10363"", ""11007"", ""13807"", ""18567""]","[""6386"", ""6738"", ""7090"", ""7443"", ""10243"", ""14443""]",,,,,,,,,,,,,,,,,
Umpire of Annihilation,Beerus,120/140,15,UR,Super STR,1488,"[""Boost Category"", ""Boost Type"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Rival's Recognition,,"[""Godly Power Lv 1: ATK +15%Lv 10: ATK +15% and chance of performing a critical hit +5%"", ""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%"", ""Connoisseur Lv 1: Recovers 5% HPLv 10: Recovers 7% HP and DEF +7%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Realm of Gods"", ""Movie Bosses"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Exploding Rage"", ""Space-Traveling Warriors"", ""Planetary Destruction"", ""Legendary Existence""]","[""3788"", ""8137"", ""10137"", ""13137""]","[""3601"", ""8679"", ""10679"", ""14079""]","[""2437"", ""3493"", ""5493"", ""8093""]",,"TEQ, INT & STR Type Ki +3 and HP, ATK & DEF +50%",God of Destruction's Edict (Extreme),Causes supreme damage to enemy and greatly lowers DEF[2],"""Worthy Rivals"" Category allies' Ki +2 and ATK & DEF +30%; DEF +100% and high chance[3] of ATK +200%","[""8663"", ""9189"", ""9715"", ""10242"", ""12242"", ""15242""]","[""9293"", ""9907"", ""10522"", ""11136"", ""13136"", ""16536""]","[""3620"", ""3748"", ""3876"", ""4004"", ""6004"", ""8604""]",,,,,,,,,,,,,,,,,
Uncontrollable Instinct,Buu (Kid),120/140,15,UR,Extreme AGL,1500,"[""Boost All"", ""Boost Type"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Recovery""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Skill Copy,,"[""Majin Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +15%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""More Than Meets the Eye Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Infinite Regeneration Lv 1: Recovers 3% HPLv 10: Ki +2, recovers 3% HP and DEF +10%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%"", ""The Wall Standing Tall Lv 1: Disables enemy's True Power; ATK +15%Lv 10: Disables enemy's True Power; ATK +20%""]","[""Resurrected Warriors"", ""Majin Buu Saga"", ""Transformation Boost"", ""Artificial Life Forms"", ""Majin Power"", ""Planetary Destruction"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]","[""4315"", ""9964"", ""11964"", ""14564""]","[""4332"", ""8099"", ""10099"", ""13099""]","[""2156"", ""3640"", ""5640"", ""9040""]",,"AGL Type Ki +2 and HP, ATK & DEF +70%",Planet Burst (Extreme),Causes supreme damage to enemy and greatly lowers DEF[2],Recovers 14% HP at start of turn; ATK +14% and DEF +7% per Ki Sphere obtained,"[""10647"", ""11331"", ""12014"", ""12698"", ""14698"", ""17298""]","[""8554"", ""9010"", ""9466"", ""9922"", ""11922"", ""14922""]","[""3819"", ""3999"", ""4178"", ""4358"", ""6358"", ""9758""]",,,,,,,,,,,,,,,,,
Clutching Victory,Super Saiyan 3 Goku,120/140,15,UR,Super STR,1503,"[""Boost All"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Full-Power Battle,,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Over in a Flash Lv 1: Ki +3Lv 10: Ki +3 and ATK +7%"", ""Limit-Breaking Form Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration""]","[""Majin Buu Saga"", ""Super Saiyan 3"", ""Pure Saiyans"", ""Full Power"", ""Movie Heroes"", ""Goku's Family"", ""Final Trump Card"", ""Turtle School"", ""Attained Evolution""]","[""3199"", ""8571"", ""10571"", ""13571""]","[""3124"", ""8123"", ""10123"", ""13523""]","[""2331"", ""4277"", ""6277"", ""8877""]",,"All Types Ki +2 and HP, ATK & DEF +50%",Dragon Fist (Extreme),Causes supreme damage to enemy and greatly lowers DEF[2],DEF +40%; ATK +80% when HP is 30% or above; plus an additional ATK +30% when HP is 50% or above; plus an additional ATK +30% when HP is 80% or above,"[""9221"", ""9871"", ""10521"", ""11171"", ""13171"", ""16171""]","[""8727"", ""9332"", ""9937"", ""10542"", ""12542"", ""15942""]","[""4512"", ""4747"", ""4983"", ""5218"", ""7218"", ""9818""]",,,,,,,,,,,,,,,,,
